"ResourceType","OperationName","Severity","AlertOnSuccess","AlertOnFailure","FriendlyName","Description","Category"
"microsoft.aad/domainservices","microsoft.aad/domainservices/delete","1","Yes","Yes","domainservices","Resource deleted","Administrative"
"microsoft.aad/domainservices","microsoft.aad/domainservices/write","2","No","Yes","domainservices","Resource created or updated","Administrative"
"microsoft.alertsmanagement/actionrules","microsoft.alertsmanagement/actionrules/delete","1","Yes","Yes","actionrules","Resource deleted","Administrative"
"microsoft.alertsmanagement/actionrules","microsoft.alertsmanagement/actionrules/write","2","No","Yes","actionrules","Resource created or updated","Administrative"
"microsoft.appconfiguration/configurationstores","microsoft.appconfiguration/configurationstores/delete","1","Yes","Yes","configurationstores","Resource deleted","Administrative"
"microsoft.appconfiguration/configurationstores","microsoft.appconfiguration/configurationstores/write","2","No","Yes","configurationstores","Resource created or updated","Administrative"
"microsoft.authorization/policyassignments","Microsoft.Authorization/policyAssignments/delete","1","Yes","Yes","policy","Policy assignment deleted","Policy"
"microsoft.authorization/policyassignments","Microsoft.Authorization/policyAssignments/write","1","Yes","Yes","policy","Policy assignment created or updated","Policy"
"microsoft.authorization/policydefinitions","Microsoft.Authorization/policyDefinitions/write","1","Yes","Yes","policy","Policy definition created or updated","Policy"
"microsoft.authorization/roleassignments","Microsoft.Authorization/roleAssignments/delete","0","Yes","Yes","rbac","Role assignment deleted","Security"
"microsoft.authorization/roleassignments","Microsoft.Authorization/roleAssignments/write","0","Yes","Yes","rbac","Role assignment created","Security"
"microsoft.automation/automationaccounts","Microsoft.Automation/automationAccounts/delete","0","Yes","Yes","automation","Automation account deleted","Administrative"
"microsoft.automation/automationaccounts","Microsoft.Automation/automationAccounts/jobs/write","2","No","Yes","automation","Runbook job execution failed","Administrative"
"microsoft.automation/automationaccounts","Microsoft.Automation/automationAccounts/runbooks/write","1","Yes","Yes","automation","Runbook created or updated","Administrative"
"microsoft.automation/automationaccounts","Microsoft.Automation/automationAccounts/write","1","Yes","Yes","automation","Automation account created or updated","Administrative"
"microsoft.cdn/profiles","microsoft.cdn/profiles/delete","1","Yes","Yes","profiles","Resource deleted","Administrative"
"microsoft.cdn/profiles","microsoft.cdn/profiles/write","2","No","Yes","profiles","Resource created or updated","Administrative"
"microsoft.cdn/profiles/endpoints","microsoft.cdn/profiles/endpoints/delete","1","Yes","Yes","endpoints","Resource deleted","Administrative"
"microsoft.cdn/profiles/endpoints","microsoft.cdn/profiles/endpoints/write","2","No","Yes","endpoints","Resource created or updated","Administrative"
"microsoft.cognitiveservices/accounts","microsoft.cognitiveservices/accounts/delete","1","Yes","Yes","accounts","Resource deleted","Administrative"
"microsoft.cognitiveservices/accounts","microsoft.cognitiveservices/accounts/write","2","No","Yes","accounts","Resource created or updated","Administrative"
"microsoft.cognitiveservices/accounts/projects","microsoft.cognitiveservices/accounts/projects/delete","1","Yes","Yes","projects","Resource deleted","Administrative"
"microsoft.cognitiveservices/accounts/projects","microsoft.cognitiveservices/accounts/projects/write","2","No","Yes","projects","Resource created or updated","Administrative"
"microsoft.compute/availabilitysets","microsoft.compute/availabilitysets/delete","1","Yes","Yes","availabilitysets","Resource deleted","Administrative"
