"ResourceType","AlertMetricName","Count","AlertOperator","Aggregation","Dimensions","EvaluationFrequency","WindowSize","DSExport","Severity","Threshold","FriendlyName"
"microsoft.aad/domainservices","\Memory\% Committed Bytes In Use","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","95","adds"
"microsoft.aad/domainservices","\Process(dns)\% Processor Time","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","95","adds"
"microsoft.aad/domainservices","\Process(lsass)\% Processor Time","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","95","adds"
"microsoft.aad/domainservices","\Processor(_Total)\% Processor Time","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","95","adds"
"microsoft.analysisservices/servers","MemoryUsage","Bytes","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","XX","as"
"microsoft.analysisservices/servers","MemoryUsage","Bytes","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","XX","as"
"microsoft.analysisservices/servers","MemoryUsage","Bytes","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","2","XX","as"
"microsoft.analysisservices/servers","qpu_metric","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","XX","as"
"microsoft.analysisservices/servers","qpu_metric","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","XX","as"
"microsoft.analysisservices/servers","qpu_metric","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","2","XX","as"
"microsoft.analysisservices/servers","QuotaBlocked","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","1","as"
"microsoft.analysisservices/servers","TotalConnectionFailures","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","1","as"
"microsoft.apimanagement/service","BackendDuration","MilliSeconds","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","YY","apim"
"microsoft.apimanagement/service","BackendDuration","MilliSeconds","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","YY","apim"
"microsoft.apimanagement/service","BackendDuration","MilliSeconds","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","2","YY","apim"
"microsoft.apimanagement/service","Capacity","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","95","apim"
"microsoft.apimanagement/service","Capacity","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","90","apim"
"microsoft.apimanagement/service","Capacity","Percent","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","2","85","apim"
"microsoft.apimanagement/service","Duration","MilliSeconds","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","0","YY","apim"
"microsoft.apimanagement/service","Duration","MilliSeconds","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","YY","apim"
"microsoft.apimanagement/service","Duration","MilliSeconds","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","2","YY","apim"
"microsoft.apimanagement/service","FailedRequests","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","1","apim"
"microsoft.cache/redis","allcachemisses","Count","GreaterThanOrEqual","Average","","PT5M","PT5M","Yes","1","1","redis"
